Name,IATA,ICAO,Callsign,Country,Active
Atlantic Southeast Airlines,EV,ASQ,ACEY,United States,Y
Astrakhan Airlines,OB,ASZ,AIR ASTRAKHAN,Russia,Y
Air Tanzania,TC,ATC,TANZANIA,Tanzania,Y
Air Burkina,2J,VBW,BURKINA,Burkina Faso,Y
Aero-Tropics Air Services,HC,ATI,,Australia,N
Airlines Of Tasmania,FO,ATM,AIRTAS,Australia,Y
Air Saint Pierre,PJ,SPM,,France,Y
Air Transport International,8C,ATN,AIR TRANSPORT,United States,N
Austrian Airlines,OS,AUA,AUSTRIAN,Austria,Y
Augsburg Airways,IQ,AUB,AUGSBURG-AIR,Germany,Y
AirBridge Cargo,RU,ABW,AIRBRIDGE CARGO,Russia,N
Abu Dhabi Amiri Flight,MO,AUH,SULTAN,United Arab Emirates,Y
Aeroflot-Nord,5N,AUL,DVINA,Russia,Y
Aurigny Air Services,GR,AUR,AYLINE,United Kingdom,Y
Aus-Air,NO,AUS,,Australia,N
Austral Lineas Aereas,AU,AUT,AUSTRAL,Argentina,Y
Australian Airlines,AO,AUZ,AUSTRALIAN,Australia,N
Avianca - Aerovias Nacionales de Colombia,AV,AVA, S.A.,AVIANCA,Y
Air Vanuatu,NF,AVN,AIR VAN,Vanuatu,Y
Airlink Zambia,K8,ZAK,,Zambia,N
Air Bangladesh,B9,BGD,AIR BANGLA,Bangladesh,Y
Air Mediterranee,DR,BIE,MEDITERRANEE,France,Y
Aeroline GmbH,7E,AWU,SYLT-AIR,Germany,Y
Air Wales,6G,AWW,RED DRAGON,United Kingdom,Y
Air Caraïbes,TX,FWI,FRENCH WEST,France,Y
Air India Express,IX,AXB,EXPRESS INDIA,India,Y
Asian Express Airlines,HJ,AXF,FREIGHTEXPRESS,Australia,N
Air Exel,XT,AXL,EXEL COMMUTER,Netherlands,Y
AirAsia,AK,AXM,ASIAN EXPRESS,Malaysia,Y
Axis Airways,6V,AXY,AXIS,France,N
Atlant-Soyuz Airlines,3G,AYZ,ATLANT-SOYUZ,Russia,Y
Alitalia,AZ,AZA,ALITALIA,Italy,Y
Arcus-Air Logistic,ZE,AZE,ARCUS AIR,Germany,N
Amaszonas,Z8,AZN,,Bolivia,Y
Air Zimbabwe,UM,AZW,AIR ZIMBABWE,Zimbabwe,Y
Aserca Airlines,R7,OCA,AROSCA,Venezuela,Y
Rossiya-Russian Airlines,FV,SDM,PULKOVO,Russia,Y
Aviaexpress,RX,AEH,Avex,Hungary,N
American Eagle Airlines,MQ,EGF,EAGLE FLIGHT,United States,Y
Air Ivoire,VU,VUN,AIRIVOIRE,Ivory Coast,Y
Air Botswana,BP,BOT,BOTSWANA,Botswana,Y
Air Foyle,GS,UPA,FOYLE,United Kingdom,Y
Air Tahiti,VT,VTA,AIR TAHITI,French Polynesia,Y
Air Urga,3N,URG,URGA,Ukraine,N
Air VIA,VL,VIM,,Bulgaria,Y
Africa West,FK,WTA,WEST TOGO,Togo,Y
Avirex,G2,VXG,AVIREX-GABON,Gabon,N
ATRAN Cargo Airlines,V8,VAS,ATRAN,Russian Federation,Y
Avensa,VE,AVE,Avensa,Venezuela,N
Avolar Aerolineas,V5,VLI,AEROVOLAR,Mexico,N
Air China,CA,CCA,AIR CHINA,China,Y
Aero Condor Peru,Q6,CDP,CONDOR-PERU,Peru,Y
Arctic Circle Air Service,5F,CIR,AIR ARCTIC,United States,N
Air Corridor,QC,CRD,AIR CORRIDOR,Mozambique,N
Air Central,NV,CRF,AIR CENTRAL,Japan,N
Air Chathams,CV,CVA,CHATHAM,New Zealand,Y
Air Marshall Islands,CW,CWM,AIR MARSHALLS,Marshall Islands,Y
Access Air,ZA,CYD,CYCLONE,United States,Y
Air Algerie,AH,DAH,AIR ALGERIE,Algeria,Y
Adam Air,KI,DHI,ADAM SKY,Indonesia,Y
Astar Air Cargo,ER,DHL,DAHL,United States,N
Antinea Airlines,HO,DJA,ANTINEA,Algeria,N
Air Dolomiti,EN,DLA,DOLOMOTI,Italy,Y
Aeroflot-Don,D9,DNV,DONAVIA,Russia,Y
Air Madrid,NM,DRD,ALADA AIR,Spain,Y
Aero Airlines,EE,EAY,REVAL,Estonia,N
Air City,4F,ECE,AIRCITY,Germany,N
Aer Lingus,EI,EIN,SHAMROCK,Ireland,Y
Alpi Eagles,E8,ELG,ALPI EAGLES,Italy,N
Air S,KY,EQL,EQUATORIAL,Air S,N
Air Fiji,PC,FAJ,FIJIAIR,Fiji,N
Air Finland,OF,FIF,AIR FINLAND,Finland,Y
Air Pacific,FJ,FJI,PACIFIC,Fiji,Y
Atlantic Airways,RC,FLI,FAROELINE,Faroe Islands,Y
Air Florida,QH,FLZ,AIR FLORIDA,United States,Y
Air Iceland,NY,FXI,FAXI,Iceland,Y
Air Philippines,2P,GAP,ORIENT PACIFIC,Philippines,Y
Air Georgian,ZX,GGN,GEORGIAN,Canada,N
Air Guinee Express,2U,GIP,FUTURE EXPRESS,Guinea,Y
Amber Air,0A,GNT,GINTA,Lithuania,N
Air Georgia,DA,GRG,AIR GEORGIA,Georgia,N
Air Greenland,GL,GRL,GREENLAND,Denmark,Y
Allegro,LL,GRO,ALLEGRO,Mexico,N
Atlas Air,5Y,GTI,GIANT,United States,Y
Air Guyane,GG,GUY,GREEN BIRD,French Guiana,Y
Air D'Ayiti,H9,HAD,HAITI AVIA,Haiti,N
Air Comores International,GG,HAH,AIR COMORES,Comoros,N
Air Horizon,8C,HZT,HORIZON TOGO,Togo,N
Air Bagan,W9,JAB,AIR BAGAN,Myanmar,Y
Atyrau Air Ways,IP,JOL,EDIL,Kazakhstan,N
Air Canada Jazz,QK,JZA,JAZZ,Canada,Y
Atlasjet,KK,KKK,ATLASJET,Turkey,Y
Air Koryo,JS,KOR,AIR KORYO,Democratic People's Republic of Korea,Y
Air Astana,KC,KZR,ASTANALINE,Kazakhstan,Y
Albanian Airlines,LV,LBC,ALBANIAN,Albania,Y
Alidaunia,D4,LID,ALIDA,Italy,N
Alliance Air,CD,LLR,ALLIED,India,N
Aerolane,XL,LNE,LAN ECUADOR,Ecuador,Y
Air Alps Aviation,A6,LPV,ALPAV,Austria,N
Atlantis European Airways,TD,LUR,,Armenia,Y
Air Luxor GB,L8,LXG,LUXOR GOLF,Guinea-Bissau,N
Air Luxor,LK,LXR,AIRLUXOR,Portugal,Y
Air Mauritius,MK,MAU,AIRMAURITIUS,Mauritius,Y
Air Madagascar,MD,MDG,AIR MADAGASCAR,Madagascar,Y
Air Moldova,9U,MLD,AIR MOLDOVA,Moldova,Y
Aero Mongolia,M0,MNG,AERO MONGOLIA,Mongolia,N
Air Plus Comet,A7,MPD,RED COMET,Spain,Y
Aeromexpress,QO,MPX,AEROMEXPRESS,Mexico,N
Air Mauritanie,MR,MRT,MIKE ROMEO,Mauritania,N
Albarka Air,F4,NBK,AL-AIR,Nigeria,N
Aero Contractors,AJ,NIG,AEROLINE,Nigeria,Y
Air Burundi,8Y,PBU,AIR-BURUNDI,Burundi,N
Aeropelican Air Services,OT,PEL,PELICAN,Australia,Y
Air Paradise International,AD,PRZ,RADISAIR,Indonesia,N
Air Class Lineas Aereas,QD,QCL,ACLA,Uruguay,N
African Safari Airways,QS,QSC,ZEBRA,Kenya,N
Airbus France,4Y,RBU,AIRBUS FRANCE,France,N
Air Mobility Command,MC,RCH,REACH,United States,N
Aer Arann,RE,REA,AER ARANN,Ireland,Y
Air Austral,UU,REU,REUNION,France,Y
Asian Spirit,6K,RIT,ASIAN SPIRIT,Philippines,Y
Air Afrique,RK,RKA,AIRAFRIC,Ivory Coast,Y
Airlinair,A5,RLA,AIRLINAIR,France,Y
Aero Lanka,QL,RLN,AERO LANKA,Sri Lanka,Y
Armenian International Airways,MV,RML,,Armenia,N
Air Salone,20,RNE,AIR SALONE,Sierra Leone,Y
Armavia,U8,RNV,ARMAVIA,Armenia,Y
Aeromar,BQ,ROM,BRAVO QUEBEC,Dominican Republic,N
AeroRep,P5,RPB,AEROREPUBLICA,Colombia,Y
Aero-Service,BF,RSR,CONGOSERV,Republic of the Congo,Y
Aerosur,5L,RSU,AEROSUR,Bolivia,Y
Air Santo Domingo,EX,SDO,AERO DOMINGO,Dominican Republic,N
Aero California,JR,SER,AEROCALIFORNIA,Mexico,N
Avient Aviation,Z3,SMJ,AVAVIA,Zimbabwe,Y
Air Service,M3,SPJ,AIR SKOPJE,Macedonia,N
Air Slovakia,GM,SVK,SLOVAKIA,Slovakia,N
Aircompany Yakutia,R3,SYL,AIR YAKUTIA,Russia,Y
Aeromar,VW,TAO,TRANS-AEROMAR,Mexico,Y
Air Turks and Caicos,JY,TCI,KERRMONT,Turks and Caicos Islands,N
Arkefly,OR,TFL,ARKEFLY,Netherlands,Y
Airlines PNG,CG,TOK,BALUS,Papua New Guinea,Y
Air Cal,TY,TPC,AIRCAL,France,N
AirTran Airways,FL,TRS,CITRUS,United States,Y
Air Transat,TS,TSC,TRANSAT,Canada,Y
Avialeasing Aviation Company,EC,TWN,TWINARROW,Uzbekistan,Y
Tyrolean Airways,VO,TYR,TYROLEAN,Austria,Y
Aero-Charter Ukraine,DW,UCR,CHARTER UKRAINE,Ukraine,N
Air Ukraine,6U,UKR,AIR UKRAINE,Ukraine,N
Aerolineas Galapagos (Aerogal),2K,GLG,AEROGAL,Ecuador,Y
Alrosa Mirny Air Enterprise,6R,DRU,MIRNY,Russia,Y
Baker Aviation,8Q,BAJ,BAKER AVIATION,United States,N
British Airways,BA,BAW,SPEEDBIRD,United Kingdom,Y
Biman Bangladesh Airlines,BG,BBC,BANGLADESH,Bangladesh,Y
Bluebird Cargo,BF,BBD,BLUE CARGO,Iceland,N
BACH Flugbetriebsges,B4,BCF,BACH,Austria,N
Blue Dart Aviation,BZ,BDA,BLUE DART,India,N
B&H Airlines,JA,BON,Air Bosna,Bosnia and Herzegovina,N
Buffalo Airways,J4,BFL,BUFFALO,Canada,N
Benin Golf Air,A8,BGL,BENIN GOLF,Benin,N
Belair Airlines,4T,BHP,BELAIR,Switzerland,Y
Bahamasair,UP,BHS,BAHAMAS,Bahamas,Y
British International Helicopters,BS,BIH,BRINTEL,United Kingdom,Y
Bankair,B4,BKA,BANKAIR,United States,N
Bangkok Airways,PG,BKP,BANGKOK AIR,Thailand,Y
Blue1,KF,BLF,BLUEFIN,Finland,Y
Bearskin Lake Air Service,JV,BLS,BEARSKIN,Canada,Y
Bellview Airlines,B3,BLV,BELLVIEW AIRLINES,Nigeria,Y
bmi,BD,BMA,MIDLAND,United Kingdom,Y
bmibaby,WW,BMI,BABY,United Kingdom,Y
Bemidji Airlines,CH,BMJ,BEMIDJI,United States,Y
Bismillah Airlines,5Z,BML,BISMILLAH,Bangladesh,N
Bouraq Indonesia Airlines,BO,BOU,BOURAQ,Indonesia,N
Blue Panorama Airlines,BV,BPA,BLUE PANOROMA,Italy,Y
BRA-Transportes Aereos,7R,BRB,BRA-TRANSPAEREOS,Brazil,N
Bering Air,8E,BRG,BERING AIR,United States,Y
Belavia Belarusian Airlines,B2,BRU,BELARUS AVIA,Belarus,Y
Bravo Air Congo,K6,BRV,BRAVO,Democratic Republic of the Congo,N
Braniff International Airways,BN,BNF,Braniff,United States,N
Big Sky Airlines,GQ,BSY,BIG SKY,United States,N
BAL Bashkirian Airlines,V9,BTC,BASHKIRIAN,Russia,N
Metro Batavia,7P,BTV,BATAVIA,Indonesia,Y
Berjaya Air,J8,BVT,BERJAYA,Malaysia,Y
Blue Wings,QW,BWG,BLUE WINGS,Germany,Y
Bayu Indonesia Air,BM,BYE,BAYU,Indonesia,N
Brit Air,DB,BZH,BRITAIR,France,Y
Boston-Maine Airways,E9,CXS,CLIPPER CONNECTION,United States,N
Brussels Airlines,SN,DAT,BEE-LINE,Belgium,Y
Binter Canarias,NT,IBB,,Spain,Y
Blue Air,0B,JOR,BLUE TRANSPORT,Romania,Y
British Mediterranean Airways,KJ,LAJ,BEE MED,United Kingdom,Y
Bulgaria Air,FB,LZB,FLYING BULGARIA,Bulgaria,Y
Barents AirLink,8N,NKF,NORDFLIGHT,Sweden,Y
CAL Cargo Air Lines,5C,ICL,CAL,Israel,Y
CHC Airways,AW,SCH,,Netherlands,N
Calima Aviacion,XG,CLI,CALIMA,Spain,Y
Calm Air,MO,CAV,CALM AIR,Canada,N
Camai Air,R9,CAM,AIR CAMAI,United States,N
Cameroon Airlines,UY,UYC,CAM-AIR,Cameroon,N
CanJet,C6,CJA,CANJET,Canada,N
Canadian Airlines,CP,CDN,CANADIAN,Canada,Y
Canadian North,5T,MPE,EMPRESS,Canada,Y
Canadian Western Airlines,W2,CWA,CANADIAN WESTERN,Canada,N
Cape Air,9K,KAP,CAIR,United States,Y
Capital Cargo International Airlines,PT,CCI,CAPPY,United States,N
Cargo 360,GG,GGC,LONG-HAUL,United States,N
Cargoitalia,2G,CRG,WHITE PELICAN,Italy,N
Cargojet Airways,W8,CJT,CARGOJET,Canada,N
Cargolux,CV,CLX,CARGOLUX,Luxembourg,N
Caribbean Airlines,BW,BWA,CARIBBEAN AIRLINES,Trinidad and Tobago,Y
Caribbean Star Airlines,8B,GFI,CARIB STAR,Antigua and Barbuda,N
Carpatair,V3,KRP,CARPATAIR,Romania,Y
Caspian Airlines,RV,CPN,CASPIAN,Iran,Y
Cathay Pacific,CX,CPA,CATHAY,Hong Kong SAR of China,Y
Cayman Airways,KX,CAY,CAYMAN,Cayman Islands,Y
Cebu Pacific,5J,CEB,CEBU AIR,Philippines,Y
Centavia,7N,CNA,,Serbia,N
Centralwings,C0,CLW,CENTRALWINGS,Poland,Y
Centre-Avia,J7,CVC,AVIACENTRE,Russia,N
Centurion Air Cargo,WE,CWC,CHALLENGE CARGO,United States,N
Chalk's Ocean Airways,OP,CHK,CHALKS,United States,N
Champion Air,MG,CCP,CHAMPION AIR,United States,N
Changan Airlines,2Z,CGN,CHANGAN,China,N
Chari Aviation Services,S8,CSU,CHARI SERVICE,Chad,N
Chautauqua Airlines,RP,CHQ,CHAUTAUQUA,United States,Y
Chicago Express,C8,WDY,WINDY CITY,United States,N
China Airlines,CI,CAL,DYNASTY,Taiwan,Y
China Cargo Airlines,CK,CKK,CARGO KING,China,N
China Eastern Airlines,MU,CES,CHINA EASTERN,China,Y
China Northern Airlines,CJ,CBF,CHINA NORTHERN,China,N
China Northwest Airlines,WH,CNW,CHINA NORTHWEST,China,N
China Postal Airlines,8Y,CYZ,CHINA POST,China,N
China Southern Airlines,CZ,CSN,CHINA SOUTHERN,China,Y
China United Airlines,HR,CUA,LIANHANG,China,Y
China Xinhua Airlines,XO,CXH,XINHUA,China,N
Yunnan Airlines,3Q,CYH,YUNNAN,China,Y
Chitaavia,X7,CHF,CHITA,Russia,N
Cielos Airlines,A2,CIU,CIELOS,Peru,N
Cimber Air,QI,CIM,CIMBER,Denmark,Y
Cirrus Airlines,C9,RUS,CIRRUS AIR,Germany,Y
City Airline,CF,SDR,SWEDESTAR,Sweden,Y
City Connexion Airlines,G3,CIX,CONNEXION,Burundi,Y
CityJet,WX,BCY,CITY-IRELAND,Ireland,Y
BA CityFlyer,CJ,CFE,FLYER,United Kingdom,Y
Civil Air Transport,CT,CAT,Mandarin,Taiwan,N
Club Air,6P,ISG,CLUBAIR,Italy,N
Coast Air,BX,CST,COAST CENTER,Norway,N
Colgan Air,9L,CJC,COLGAN,United States,Y
Comair,OH,COM,COMAIR,United States,Y
Comair,MN,CAW,COMMERCIAL,South Africa,Y
CommutAir,C5,UCA,COMMUTAIR,United States,Y
Comores Airlines,KR,CWK,CONTICOM,Comoros,Y
Compania Mexicargo,GJ,MXC,MEXICARGO,Mexico,N
Compass Airlines,CP,CPZ,Compass Rose,United States,Y
Condor Flugdienst,DE,CFG,CONDOR,Germany,Y
Consorcio Aviaxsa,6A,CHP,AVIACSA,Mexico,Y
Contact Air,C3,KIS,CONTACTAIR,Germany,Y
Continental Airlines,CO,COA,CONTINENTAL,United States,Y
Continental Airways,PC,PVV,CONTAIR,Russia,N
Continental Micronesia,CS,CMI,AIR MIKE,United States,Y
Conviasa,V0,VCV,CONVIASA,Venezuela,Y
Copa Airlines,CM,CMP,COPA,Panama,Y
Corsairfly,SS,CRL,CORSAIR,France,Y
Corse-Mediterranee,XK,CCM,CORSICA,France,Y
Cosmic Air,F5,COZ,COSMIC AIR,Nepal,N
Croatia Airlines,OU,CTN,CROATIA,Croatia,Y
Crossair Europe,QE,ECC,Cigogne,Switzerland,N
Cubana de Aviación,CU,CUB,CUBANA,Cuba,Y
Cyprus Airways,CY,CYP,CYPRUS,Cyprus,Y
Czech Airlines,OK,CSA,CSA-LINES,Czech Republic,Y
DAS Air Cargo,WD,DSR,DAIRAIR,Uganda,N
DAT Danish Air Transport,DX,DTR,DANISH,Denmark,Y
DHL International,ES,DHX,DILMUN,Bahrain,N
DHL de Guatemala,L3,JOS,,Guatemala,N
Daallo Airlines,D3,DAO,DALO AIRLINES,Djibouti,Y
Dagestan Airlines,N2,DAG,DAGAL,Russia,N
Dalavia,H8,KHB,DALAVIA,Russia,Y
Darwin Airline,0D,DWT,DARWIN,Switzerland,Y
Dauair,D5,DAU,DAUAIR,Germany,N
Delta Air Lines,DL,DAL,DELTA,United States,Y
Deutsche Rettungsflugwacht,1I,AMB,CIVIL AIR AMBULANCE,Germany,N
Dinar,D7,RDN,AERO DINAR,Argentina,N
Dirgantara Air Service,AW,DIR,DIRGANTARA,Indonesia,N
Discovery Airways,DH,DVA,DISCOVERY AIRWAYS,United States,N
Djibouti Airlines,D8,DJB,DJIBOUTI AIR,Djibouti,Y
Dominicana de Aviaci,DO,DOA,DOMINICANA,Dominican Republic,Y
Domodedovo Airlines,E3,DMO,DOMODEDOVO,Russia,Y
DonbassAero,5D,UDC,DONBASS AERO,Ukraine,Y
Dragonair,KA,HDA, Hong Kong Dragon Airlines,DRAGON,Y
Druk Air,KB,DRK,ROYAL BHUTAN,Bhutan,Y
dba,DI,BAG,SPEEDWAY,Germany,Y
EUjet,VE,EUJ,UNION JET,Ireland,N
EVA Air,BR,EVA,EVA,Taiwan,Y
East African,QU,UGX,CRANE,Uganda,Y
East African Safari Air,S9,HSA,DUMA,Kenya,N
Eastern Airways,T3,EZE,EASTFLIGHT,United Kingdom,Y
Eastland Air,DK,ELA,,Australia,Y
Eastwind Airlines,W9,SGR,STINGER,United States,N
Edelweiss Air,WK,EDW,EDELWEISS,Switzerland,Y
Egyptair,MS,MSR,EGYPTAIR,Egypt,Y
El Al Israel Airlines,LY,ELY,ELAL,Israel,Y
El-Buraq Air Transport,UZ,BRQ,BURAQAIR,Libya,Y
Emirates,EK,UAE,EMIRATES,United Arab Emirates,Y
Empire Airlines,EM,CFS,EMPIRE AIR,United States,N
Empresa Ecuatoriana De Aviacion,EU,EEA,ECUATORIANA,Ecuador,Y
Enkor JSC,G8,ENK,ENKOR,Russia]],N
Eos Airlines,E0,ESS,NEW DAWN,United States,N
Eritrean Airlines,B8,ERT,ERITREAN,Eritrea,Y
Estafeta Carga Aerea,E7,ESF,,Mexico,N
Estonian Air,OV,ELL,ESTONIAN,Estonia,Y
Ethiopian Airlines,ET,ETH,ETHIOPIAN,Ethiopia,Y
Etihad Airways,EY,ETD,ETIHAD,United Arab Emirates,Y
Eurocypria Airlines,UI,ECA,EUROCYPRIA,Cyprus,Y
Eurofly Service,GJ,EEU,EUROFLY,Italy,Y
Eurolot,K2,ELO,EUROLOT,Poland,Y
Euromanx Airways,3W,EMX,EUROMANX,Austria,N
European Air Express,EA,EAL,STAR WING,Germany,Y
European Air Transport,QY,BCS,EUROTRANS,Belgium,N
European Aviation Air Charter,E7,EAF,EUROCHARTER,United Kingdom,N
Eurowings,EW,EWG,EUROWINGS,Germany,Y
Evergreen International Airlines,EZ,EIA,EVERGREEN,United States,Y
Excel Airways,JN,XLA,EXPO,United Kingdom,Y
Execair Aviation,MB,EXA,CANADIAN EXECAIRE,Canada,N
Executive Airlines,OW,EXK,EXECUTIVE EAGLE,United States,N
Expo Aviation,8D,EXV,EXPOAVIA,Sri Lanka,N
Express One International,EO,LHN,LONGHORN,United States,Y
ExpressJet,XE,BTA,JET LINK,United States,Y
easyJet,U2,EZY,EASY,United Kingdom,Y
Far Eastern Air Transport,EF,EFA,Far Eastern,Taiwan,Y
Faroejet,F6,RCK,ROCKROSE,Faroe Islands,N
Faso Airways,F3,FSW,FASO,Burkina Faso,N
Federal Express,FX,FDX,FEDEX,United States,N
Fika Salaama Airlines,N8,HGK,SALAAMA,Uganda,N
Finalair Congo,4S,FNC,FINALAIR CONGO,Republic of the Congo,N
Finnair,AY,FIN,FINNAIR,Finland,Y
Finncomm Airlines,FC,WBA,WESTBIRD,Finland,Y
Firefly,FY,FFM,FIREFLY,Malaysia,Y
First Air,7F,FAB,,Canada,Y
First Choice Airways,DP,FCA,JETSET,United Kingdom,Y
Fischer Air,8F,FFR,FISCHER,Czech Republic,N
Flightline,B5,FLT,FLIGHTLINE,United Kingdom,Y
Florida Coastal Airlines,PA,FCL,FLORIDA COASTAL,United States,N
Florida West International Airways,RF,FWL,FLO WEST,United States,Y
Fly Air,F2,FLM,FLY WORLD,Turkey,N
Fly Me Sweden,SH,FLY,FLYBIRD,Sweden,N
